✓ Initialized. View run at 
https://modal.com/apps/jmwright-045/main/ap-fQQKVq5aNgclIGwjNZ2126
✓ Created objects.
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/modal/modal_e5.py
├── 🔨 Created mount /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/inputs
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/requirements.txt
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/e5_runner.py
├── 🔨 Created mount PythonPackage:modal_common
├── 🔨 Created function run_e5_t4.
└── 🔨 Created function run_e5_a10g.
kot-e5 via Modal: gpu=A10G mock=False (12 staged files, runner 0fadb8b4b14e…)
[e5     3.5s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32
[e5    11.3s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e5    11.3s] sweep arm=true lr=0.0003
[e5  2758.3s]     step 250/2000 loss 2.5676
[e5  2766.2s]     step 300/2000 loss 2.5163
[e5  2774.0s]     step 350/2000 loss 2.1593
[e5  2781.7s]     step 400/2000 loss 2.5118
[e5  2789.8s]     step 450/2000 loss 2.5585
[e5  2797.7s]     step 500/2000 loss 2.2319
[e5  2805.4s]     step 550/2000 loss 2.1483
[e5  2813.5s]     step 600/2000 loss 2.4501
[e5  2821.3s]     step 650/2000 loss 2.1058
[e5  2829.2s]     step 700/2000 loss 2.3607
[e5  2837.0s]     step 750/2000 loss 2.1566
[e5  2844.7s]     step 800/2000 loss 2.0770
[e5  2852.7s]     step 850/2000 loss 2.1145
[e5  2860.7s]     step 900/2000 loss 1.8962
[e5  2868.5s]     step 950/2000 loss 1.9720
[e5  2876.4s]     step 1000/2000 loss 1.7820
[e5  2884.2s]     step 1050/2000 loss 1.9543
[e5  2892.1s]     step 1100/2000 loss 2.0534
[e5  2900.0s]     step 1150/2000 loss 2.1657
[e5  2907.8s]     step 1200/2000 loss 1.7592
[e5  2915.6s]     step 1250/2000 loss 1.8949
[e5  2923.7s]     step 1300/2000 loss 2.0492
[e5  2931.6s]     step 1350/2000 loss 1.9091
[e5  2939.6s]     step 1400/2000 loss 1.9544
[e5  2947.5s]     step 1450/2000 loss 1.7830
[e5  2955.4s]     step 1500/2000 loss 1.8757
[e5  2963.2s]     step 1550/2000 loss 1.5018
[e5  2971.0s]     step 1600/2000 loss 1.8583
