$ /usr/local/bin/python /root/kot/poc/e9/runner/e9_runner.py --inputs-dir /root/kot/poc/e9/inputs --out-dir /tmp/e9-results --device cuda
[e9     3.2s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32 arms=['true', 'shuffled', 'defl']
[e9    10.2s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e9    10.2s] sweep arm=true lr=0.0003
[e9  3300.7s]     step 1700/2000 loss 2.3549
[e9  3308.6s]     step 1750/2000 loss 2.3383
[e9  3316.2s]     step 1800/2000 loss 2.0585
[e9  3324.1s]     step 1850/2000 loss 2.2488
[e9  3332.1s]     step 1900/2000 loss 2.2155
[e9  3339.8s]     step 1950/2000 loss 2.1031
[e9  3347.5s]     step 1999/2000 loss 2.0879
[e9  3353.8s]   arm=shuffled seed=0: seenAcc=0.6500 nonceAcc=0.1583 valCE=2.5764
[e9  3353.8s] train arm=shuffled seed=1 lr=0.003
[e9  3355.1s]     step 0/2000 loss 4.4292
[e9  3362.9s]     step 50/2000 loss 3.8723
[e9  3370.8s]     step 100/2000 loss 3.4337
[e9  3378.6s]     step 150/2000 loss 3.2113
[e9  3386.6s]     step 200/2000 loss 3.0103
[e9  3394.2s]     step 250/2000 loss 2.9927
[e9  3402.1s]     step 300/2000 loss 2.9089
[e9  3410.2s]     step 350/2000 loss 3.0293
[e9  3417.8s]     step 400/2000 loss 2.8186
[e9  3425.6s]     step 450/2000 loss 2.6892
[e9  3433.5s]     step 500/2000 loss 2.7217
[e9  3441.1s]     step 550/2000 loss 2.5532
[e9  3449.1s]     step 600/2000 loss 2.6744
[e9  3457.0s]     step 650/2000 loss 2.8142
[e9  3464.8s]     step 700/2000 loss 2.6787
[e9  3472.7s]     step 750/2000 loss 2.3820
